writer,source,destination,date
"Della Faille, Jacques",Haarlem,Delft,1585-09-06
"Della Faille, Jacques",Haarlem,Delft,1585-09-07
"Della Faille, Jacques",Haarlem,Delft,1585-09-08
"Della Faille, Jacques",Haarlem,Delft,1585-09-10
"Della Faille, Jacques",Haarlem,Delft,1585-09-14
"Della Faille, Marten",Antwerp,Delft,1585-09-16
"Della Faille, Marten",Antwerp,Delft,1585-09-17
"Della Faille, Jacques",Het Vlie,Bremen,1585-10-21
"Della Faille, Jacques",Hamburg,Bremen,1585-10-30
"Della Faille, Jacques",Emden,Bremen,1585-11-30
"Noirot, Jacques",Haarlem,Bremen,1585-12-16
"Noirot, Jacques",Amsterdam,Bremen,1585-12-20
"Della Faille, Jacques",Haarlem,Bremen,1585-12-27
